Time,Open,High,Low,Close,Volume
07/28/2021 02:52:00,39925.92,39928.45,39909.64,39919.99,586735.44
07/28/2021 02:53:00,39920,39926.23,39840,39877.15,1640821.9
07/28/2021 02:54:00,39877.15,39920,39873.08,39920,632670.06
07/28/2021 02:55:00,39920,39920,39899.75,39917.99,619055.25
07/28/2021 02:56:00,39917.98,39922.1,39905.12,39921.99,875034.9
07/28/2021 02:57:00,39921.99,39922,39833.87,39844.01,853569.1
07/28/2021 02:58:00,39844.01,39853.43,39740.31,39797.27,2676203.5
07/28/2021 02:59:00,39792.79,39851.9,39785.59,39846.04,2176156
07/28/2021 03:00:00,39846.04,39888.87,39793.89,39793.89,1897043.6
07/28/2021 03:01:00,39792.71,39818.47,39516.18,39667.63,10225526
07/28/2021 03:02:00,39670.17,39682.57,39608.6,39624.37,4168619.2
07/28/2021 03:03:00,39624.31,39660.77,39547.44,39619.04,3661300
07/28/2021 03:04:00,39619.03,39619.09,39425.22,39498.5,6833100.5
07/28/2021 03:05:00,39496.65,39591.37,39476,39587.9,17582162
07/28/2021 03:06:00,39587.9,39659.86,39580.63,39656.93,3671963.5
07/28/2021 03:07:00,39656.93,39660.8,39591.21,39660.8,2685531.2
07/28/2021 03:08:00,39660.79,39667.63,39617.35,39657.98,1632568.8
07/28/2021 03:09:00,39657.98,39678.58,39630.01,39677.37,2091794.8
07/28/2021 03:10:00,39677.37,39731,39667.12,39723.05,3741173.8
07/28/2021 03:11:00,39723.06,39733.86,39659.11,39713.98,2573323.2
07/28/2021 03:12:00,39713.97,39773.98,39713.13,39738.66,2755794
07/28/2021 03:13:00,39738.66,39757.85,39721.02,39746.09,903637.25
07/28/2021 03:14:00,39746.09,39750,39699,39699.99,1220659
07/28/2021 03:15:00,39699.99,39766.84,39661.42,39761.64,2128972.8
07/28/2021 03:16:00,39761.65,39800,39752.31,39798.08,1780729.4
07/28/2021 03:17:00,39792.28,39794.83,39732.03,39740.92,1488220.4
07/28/2021 03:18:00,39740.92,39766.35,39722.23,39723.03,475032.72
07/28/2021 03:19:00,39723.04,39739.32,39685.39,39707.83,1233340.8
07/28/2021 03:20:00,39707.83,39964.56,39707.82,39932.23,25834228
07/28/2021 03:21:00,39932.24,40000,39931,39958.54,4820116
07/28/2021 03:22:00,39965.9,39996.32,39939.97,39939.97,1619091.4
07/28/2021 03:23:00,39940.57,39977.54,39929.99,39949.06,695539.1
07/28/2021 03:24:00,39949.06,39965.36,39944.01,39965.35,496442.66
07/28/2021 03:25:00,39945,39965.36,39939.91,39940,420403.5
07/28/2021 03:26:00,39940,39950,39937.28,39940,421863.72
07/28/2021 03:27:00,39940,40015.53,39936.76,39967.27,7441363.5
07/28/2021 03:28:00,39966.97,40004.1,39954.09,39974.86,2497501.8
07/28/2021 03:29:00,39978.37,39990,39958.17,39975.85,2539270.5
07/28/2021 03:30:00,39975.85,40117.73,39975.84,40082.61,6278138
07/28/2021 03:31:00,40084.62,40180,40084.62,40162.82,5645135
07/28/2021 03:32:00,40162.81,40214.78,40155.67,40180.01,4538313.5
07/28/2021 03:33:00,40180.01,40350,40180,40275.25,16055349
07/28/2021 03:34:00,40275.25,40275.26,40199.33,40216.98,3478071
07/28/2021 03:35:00,40216.98,40230.29,40180.02,40180.05,2088262.1
07/28/2021 03:36:00,40180.04,40207.05,40079.78,40099.99,6000019.5
07/28/2021 03:37:00,40099.99,40102,40068.16,40085.97,2245480.8
07/28/2021 03:38:00,40085.98,40165.96,40083.01,40083.02,1582794.4
07/28/2021 03:39:00,40083.01,40100.29,40066.45,40076.36,1084788.1
07/28/2021 03:40:00,40076.35,40090.26,40066.59,40071.7,920625.06
07/28/2021 03:41:00,40071.69,40077.25,39922.28,39966.51,6608346
07/28/2021 03:42:00,39966.5,39966.5,39875.3,39893.1,3162888
07/28/2021 03:43:00,39899.09,39925,39860,39892.86,1898394.8
07/28/2021 03:44:00,39892.86,39892.86,39807.96,39860.67,2336292.2
07/28/2021 03:45:00,39860.67,39902.88,39850.01,39899.64,1546472
07/28/2021 03:46:00,39899.65,39990.27,39899.65,39901.01,2074755.6
07/28/2021 03:47:00,39901.01,39901.01,39766.63,39772.53,3653397.2
07/28/2021 03:48:00,39772.52,39839.86,39727.28,39828.73,2238317.2
07/28/2021 03:49:00,39828.72,39868.21,39828.72,39860.43,622684.8
07/28/2021 03:50:00,39860.43,39860.43,39814.99,39842.43,1467486
07/28/2021 03:51:00,39842.44,39876.32,39830.73,39840.41,858459
07/28/2021 03:52:00,39837.07,39869.71,39825.03,39866.76,843132.6
07/28/2021 03:53:00,39866.76,39866.76,39841.91,39848.19,760631.94
07/28/2021 03:54:00,39848.19,39863.92,39842.74,39842.74,544777.56
07/28/2021 03:55:00,39842.74,39845.75,39760.31,39760.34,1817577.9
07/28/2021 03:56:00,39760.34,39837.62,39760.34,39817.06,1298951.8
07/28/2021 03:57:00,39817.07,39826.97,39800.01,39814.59,530554.4
07/28/2021 03:58:00,39817.99,39876.31,39807,39867.29,1429149
07/28/2021 03:59:00,39867.28,39915.03,39815.29,39817.56,3345997.5
07/28/2021 04:00:00,39817.56,39892.67,39786,39892.67,2250205.2
07/28/2021 04:01:00,39892.66,39950,39892.64,39940.01,2116304.5
07/28/2021 04:02:00,39940.01,40137.99,39930.06,40117.79,8843883
07/28/2021 04:03:00,40117.79,40123.86,40035.49,40043.57,2809432.2
07/28/2021 04:04:00,40051.57,40058.85,39951,39972.55,1900483.9
07/28/2021 04:05:00,39972.54,39972.54,39845.29,39911.99,3092407.8
07/28/2021 04:06:00,39911.99,39921.52,39884.38,39891.25,1734667
07/28/2021 04:07:00,39891.26,39915,39871.19,39907.17,1494143.1
07/28/2021 04:08:00,39909.52,39920,39820.87,39894.02,1834763.2
07/28/2021 04:09:00,39894.01,39900,39849.32,39854.33,914510
07/28/2021 04:10:00,39854.34,39857.68,39743.77,39772.99,2412760.8
07/28/2021 04:11:00,39772.99,39849.86,39636.44,39646.27,7172446
07/28/2021 04:12:00,39654.91,39714.05,39624.29,39709.42,4027368.2
